yolov8n,yolov8s,yolov8m,yolov8l,yolov8x
0.19119650845960437,0.3952777067562992,0.2578257252697799,0.16776606673645614,0.11960097004925725
0.7780581972804069,0.6894322819951717,0.6090504670790988,0.3049370780246453,0.20307351813072028
0.6939418666444304,0.687465723450323,0.5395637928765503,0.30337310675883505,0.19477344716119935
0.8032069264586561,0.6770517871564159,0.6204463221175893,0.31765154227806747,0.2117714371230335
0.8398952149467284,0.7024312340524163,0.5989996545362081,0.32400387231495653,0.21423364464595682
0.756939234673317,0.6511383849771497,0.5978880998243956,0.3176296278345765,0.21301605417224223
0.8711302521566907,0.6609359239597435,0.6052685428342929,0.3217554761973438,0.20769298684889637
0.8200559333804659,0.6689008526033731,0.5839275904305187,0.2956353874579892,0.18848490153928066
0.8239654816096533,0.6975183351374256,0.6053912869521364,0.2682615881533933,0.15777339717288608
0.8297819892986852,0.6044056740846778,0.6104193978796085,0.2701134439318557,0.13927058515936744
0.8323101859127919,0.5119428813728546,0.5084147820884175,0.2816625265365763,0.1072909205257007
0.8269383338774879,0.7095600792606087,0.6193718807531217,0.29475406018183054,0.17734737909592965
0.8462162811590911,0.9956124067956897,0.5518924895560535,0.2890663777590778,0.20962826715760974
0.9957064754213166,0.6137499584790347,0.5762502893751078,0.29475051816533704,0.1990306476915091
0.8614394731675097,0.6794788447752852,0.6187972980848033,0.2369276428876867,0.1997538262539133
0.8933214260840747,0.6503984758766795,0.6157999526364649,0.27262018012687034,0.19898570191625853
0.9173564202858865,0.6808126047359307,0.6199172941876694,0.2986220027739788,0.1720343382557811
0.8992109856151678,0.6907684678650428,0.5685093583087029,0.24090854421258884,0.17739047746088293
0.8295684717208659,0.7039397629670605,0.5837925111836739,0.3046002708959414,0.17224392226095445
0.8445291104837448,0.6478526030542322,0.6004062253919643,0.31311555239128214,0.20451486752868425
0.8460157241825568,0.965682757756905,0.5325403788456875,0.2898881032850221,0.21202808718626262
0.8281477155224584,0.7015161451588273,0.5713645851014064,0.2895302901354019,0.19972908527566188
0.9964845224669115,0.6760612053777948,0.4663737642519174,0.31424056915825743,0.15239195888026116
0.8426248050039526,0.6930675301897932,0.2593781374425153,0.3027840542401855,0.17897162438601372
0.8416474948554664,0.6936318986689484,0.5247633043629267,0.3187618890554951,0.15114854659439692
0.8429165774038363,0.6499786842899266,0.6079008923784696,0.3213144593283988,0.1994382184087724
0.7853134191985292,0.6982737207733528,0.4517631812335192,0.30477202503134876,0.16508733152049565
0.8348368862084752,0.6975710023089357,0.5457168689363495,0.29348843663099977,0.14799489218220893
