Frame,Elapsed Time (s),Area (%),Kondisi
160,1.8615989685058594,32.44,ramai
161,1.7764101028442383,31.32,ramai
162,2.2012059688568115,32.13,ramai
163,2.0266010761260986,31.4,ramai
164,2.0688791275024414,30.67,ramai
165,2.2492010593414307,30.24,ramai
166,2.604748010635376,30.24,ramai
167,2.051348924636841,30.1,ramai
168,1.9452669620513916,29.38,tidak ramai
169,1.9277522563934326,29.35,tidak ramai
170,1.8673079013824463,29.46,tidak ramai
171,1.8835070133209229,29.46,tidak ramai
172,2.3121910095214844,29.3,tidak ramai
173,2.139375925064087,29.27,tidak ramai
174,2.1131370067596436,29.24,tidak ramai
175,4.998292922973633,29.4,tidak ramai
176,2.5656418800354004,29.58,tidak ramai
177,2.3692190647125244,29.81,tidak ramai
178,2.0502028465270996,30.21,ramai
179,2.1772711277008057,30.25,ramai
180,1.9853448867797852,30.73,ramai
181,1.9736731052398682,30.99,ramai
182,1.865117073059082,31.29,ramai
183,1.7607061862945557,31.56,ramai
184,1.9299380779266357,31.52,ramai
185,1.8968567848205566,31.54,ramai
186,2.107414960861206,31.26,ramai
187,2.02128529548645,31.2,ramai
188,2.027608871459961,30.97,ramai
189,1.9223849773406982,31.0,ramai
190,1.943540096282959,31.19,ramai
191,1.8510348796844482,31.22,ramai
192,1.844515085220337,31.01,ramai
193,1.7695951461791992,30.68,ramai
194,1.7587268352508545,30.82,ramai
195,1.7609539031982422,30.75,ramai
196,1.7676739692687988,30.76,ramai
197,1.7776010036468506,30.33,ramai
198,1.7597789764404297,29.94,tidak ramai
199,1.7583048343658447,29.7,tidak ramai
200,1.7849750518798828,29.72,tidak ramai
201,1.793989896774292,29.97,tidak ramai
202,1.805994987487793,29.96,tidak ramai
203,1.801619052886963,29.51,tidak ramai
204,1.7637088298797607,29.75,tidak ramai
205,1.7747387886047363,29.89,tidak ramai
206,1.7685399055480957,29.7,tidak ramai
207,1.7382829189300537,29.76,tidak ramai
208,1.7428719997406006,29.71,tidak ramai
209,1.7638061046600342,29.66,tidak ramai
210,1.7625720500946045,29.47,tidak ramai
211,1.774820327758789,29.26,tidak ramai
212,1.771353006362915,29.12,tidak ramai
213,1.7836909294128418,26.47,tidak ramai
214,1.7721459865570068,26.45,tidak ramai
215,1.8442177772521973,26.75,tidak ramai
216,1.7167332172393799,27.16,tidak ramai
217,1.7162320613861084,26.97,tidak ramai
218,1.7504541873931885,27.43,tidak ramai
219,1.8109979629516602,27.4,tidak ramai
220,2.0653750896453857,28.11,tidak ramai
221,1.930994987487793,28.25,tidak ramai
222,2.5699942111968994,28.23,tidak ramai
223,2.0147249698638916,27.94,tidak ramai
224,1.9650139808654785,27.95,tidak ramai
225,1.9828410148620605,27.96,tidak ramai
226,1.9790890216827393,27.9,tidak ramai
227,1.9423091411590576,28.12,tidak ramai
228,2.204465866088867,28.21,tidak ramai
229,2.188502073287964,28.02,tidak ramai
230,2.36135196685791,27.96,tidak ramai
231,2.703911781311035,28.27,tidak ramai
232,2.1766858100891113,28.44,tidak ramai
233,2.3099708557128906,28.25,tidak ramai
234,2.253282070159912,28.75,tidak ramai
235,2.082042932510376,28.64,tidak ramai
236,2.0412728786468506,28.55,tidak ramai
237,2.1649272441864014,28.85,tidak ramai
238,2.5054829120635986,28.33,tidak ramai
239,2.307133197784424,28.45,tidak ramai
240,2.2509958744049072,28.52,tidak ramai
241,2.0910608768463135,28.35,tidak ramai
242,2.0780177116394043,28.29,tidak ramai
243,3.8283908367156982,28.06,tidak ramai
244,2.755693197250366,28.34,tidak ramai
245,2.6965010166168213,28.88,tidak ramai
246,2.3850760459899902,29.32,tidak ramai
247,2.2998642921447754,29.47,tidak ramai
248,2.3583872318267822,29.61,tidak ramai
249,2.5344321727752686,29.97,tidak ramai
250,2.432147979736328,30.23,ramai
251,2.920088052749634,30.58,ramai
