Frame,Elapsed Time (s),Area (%),Kondisi
160,4.059078216552734,31.91,ramai
161,4.034288167953491,31.51,ramai
162,3.9506118297576904,31.81,ramai
163,3.6204049587249756,31.76,ramai
164,3.7291781902313232,31.22,ramai
165,3.4250588417053223,30.7,ramai
166,3.286142110824585,30.36,ramai
167,3.392832040786743,30.27,ramai
168,3.4818520545959473,29.34,tidak ramai
169,3.1858859062194824,29.23,tidak ramai
170,3.2777388095855713,29.3,tidak ramai
171,3.2238640785217285,29.19,tidak ramai
172,3.224916934967041,29.3,tidak ramai
173,4.596489906311035,29.27,tidak ramai
174,4.394966125488281,29.16,tidak ramai
175,4.643802165985107,29.45,tidak ramai
176,3.8521039485931396,29.6,tidak ramai
177,3.347517967224121,29.89,tidak ramai
178,3.4208171367645264,30.17,ramai
179,3.6103949546813965,30.47,ramai
180,3.861090660095215,30.47,ramai
181,4.720584869384766,30.82,ramai
182,4.155130863189697,31.05,ramai
183,4.814032793045044,31.29,ramai
184,5.025767087936401,31.63,ramai
185,4.683438062667847,31.59,ramai
186,3.946855306625366,31.06,ramai
187,4.2360169887542725,31.05,ramai
188,4.202361106872559,31.01,ramai
189,3.9426419734954834,31.15,ramai
190,3.641129970550537,31.27,ramai
191,3.483138084411621,31.15,ramai
192,4.013065814971924,31.16,ramai
193,5.073318958282471,30.92,ramai
194,5.093662977218628,30.88,ramai
195,6.586983919143677,30.86,ramai
196,6.084878206253052,30.44,ramai
197,4.200150012969971,30.25,ramai
198,3.7409110069274902,30.09,ramai
199,4.132383108139038,29.93,tidak ramai
200,7.513406991958618,29.63,tidak ramai
201,6.489135980606079,29.6,tidak ramai
202,4.01441502571106,29.76,tidak ramai
203,3.4863758087158203,29.87,tidak ramai
204,3.6611487865448,29.89,tidak ramai
205,4.5638649463653564,29.85,tidak ramai
206,4.345854043960571,30.12,ramai
207,3.8051750659942627,29.8,tidak ramai
208,4.005077838897705,30.0,tidak ramai
209,3.9730780124664307,30.32,ramai
210,3.6421213150024414,30.05,ramai
211,3.441416025161743,28.95,tidak ramai
212,4.669559955596924,29.01,tidak ramai
213,4.356020927429199,26.44,tidak ramai
214,3.7132670879364014,26.52,tidak ramai
215,4.366114139556885,26.96,tidak ramai
216,3.8370611667633057,27.2,tidak ramai
217,3.4441373348236084,27.3,tidak ramai
218,3.697479248046875,27.53,tidak ramai
219,4.126460790634155,27.7,tidak ramai
220,3.6566481590270996,28.07,tidak ramai
221,3.8984198570251465,28.5,tidak ramai
222,4.1015238761901855,28.28,tidak ramai
223,4.646833896636963,28.37,tidak ramai
224,4.369739055633545,28.31,tidak ramai
225,4.655088901519775,28.47,tidak ramai
226,4.715939044952393,28.27,tidak ramai
227,4.858346939086914,28.2,tidak ramai
228,4.067190885543823,28.25,tidak ramai
229,4.360495090484619,28.28,tidak ramai
230,4.435088157653809,28.08,tidak ramai
231,4.232668876647949,28.22,tidak ramai
232,4.392858266830444,28.28,tidak ramai
233,4.187981128692627,28.42,tidak ramai
234,3.661530017852783,28.77,tidak ramai
235,3.536518096923828,28.63,tidak ramai
236,4.306303977966309,28.12,tidak ramai
237,3.6778817176818848,28.36,tidak ramai
238,3.724224805831909,28.19,tidak ramai
239,4.3150129318237305,28.19,tidak ramai
240,4.187477111816406,28.48,tidak ramai
241,3.89819598197937,27.77,tidak ramai
242,3.438270092010498,28.14,tidak ramai
243,3.358980894088745,28.62,tidak ramai
244,3.326622247695923,28.77,tidak ramai
245,3.276139974594116,28.9,tidak ramai
246,3.722809076309204,29.34,tidak ramai
247,3.7668020725250244,29.44,tidak ramai
248,3.5908498764038086,29.65,tidak ramai
249,3.8295459747314453,29.88,tidak ramai
250,4.0762858390808105,29.93,tidak ramai
251,4.004029035568237,30.56,ramai
